recpname,recpversion,mean,active_lower_bound,active_upper_bound
3VI26,.02,16,2,71
3VI27,.01,0,0,0
3VI28,.01,0,0,0
3VI29,.01,0,0,0
3VI30,.03,0,0,0
3WFS1,.02,0,0,0
3WFS2,.01,0,0,0
3WST1,.05,2410,865,3954
3WTM3,.04,0,0,0
3WTM4,.03,797,284,2008
3WTM6,.01,450,21,755
3WTM7,.01,0,0,0
3WWB2,.02,8427,0,26006
3WWB3,.03,12409,114,25310
S3RF1,.01,0,0,0
S6R01,.01,0,0,0
SAT01,.01,0,0,0
SBIN3,.04,0,0,3
SBIN4,.01,4,0,12
SBK01,.01,21614308,0,48131051
SCAS2,.01,1,0,15
SCAS3,.01,4,0,14
SCAS4,.01,3,2,7
SCAS5,.01,3,2,5
SCAS6,.01,4,2,8
SCAS7,.01,3,0,6
SCAS8,.01,4,2,8
SCAS9,.01,4,2,12
SDD01,.11,43884,10178,77589
SDD02,.07,60300,19675,100924
SDD03,.06,58418,30730,84475
SDD62,.13,79939,32747,127130
SDM01,.11,2351,89,6177
SDM02,.11,1022,618,1425
SDM03,.05,43734,0,142161
SDM04,.05,40941,0,101173
SDM05,.02,48286,28839,96030
SDM62,.13,1648,13,3421
SDT02,.01,913,63,1762
SDT61,.03,1031,356,1705
SGA01,.05,13503,9606,19889
SGC01,.05,7574,418,25407
SGD01,.05,4403,2359,6446
SGF01,.04,1742,0,6411
SGG01,.07,3906,1717,6094
SGG02,.07,4378,2898,5857
SGG06,.03,5421,971,9605
SGG07,.01,8139,3402,11972
SGG62,.09,4818,2520,7115
SGG6A,.01,6025,2450,8773
SGL03,.08,2814,1084,5135
SGL62,.01,3857,514,7269
SGL63,.06,3474,881,7047
SGM01,.09,4622,1881,9959
SGM03,.08,710,484,935
SGM05,.01,55,2,505
SGM06,.04,427,2,3829
SGM61,.05,4021,1618,10142
SGM63,.09,705,415,994
SGM64,.01,123,7,355
SGN01,.05,4610,218,13792
SGN02,.09,2714,267,8911
SGN03,.11,1303,643,2065
SGN04,.06,1353,507,2989
SGN63,.13,1460,734,2185
SGR01,.03,7561,1179,15399
SGS01,.02,3,2,5
SGS02,.04,5548,896,16148
SGS03,.04,4663,1016,12386
SGS04,.06,4276,869,8586
SGS64,.09,5193,2192,9002
SGU01,.03,31833,25307,42517
SGU03,.09,703,159,1323
