recpid,recpname,recpversion,count,mean,mode,lower_bound,upper_bound
3IRI1.03,3IRI1,.03,4484,3014.7809991079394,854,426,13418
3IRI1.04,3IRI1,.04,2398,2208.339866555463,1348,111,6116
3IRI1.05,3IRI1,.05,5165,4778.416844143272,989,327,10671
3IRI2.07,3IRI2,.07,1,13533584.0,13533584,13533584,13533584
3IRI2.08,3IRI2,.08,4169,5263.896138162629,1205,931,12231
3IRI2.09,3IRI2,.09,442,2847.285067873303,0,0,9372
3IRI2.10,3IRI2,.10,2447,6478.0380057212915,1213,109,27733
3IRI2.11,3IRI2,.11,935,10472.586096256684,1050,684,51223
3IRI2.12,3IRI2,.12,22,33910.5,0,0,77534
3IRI2.13,3IRI2,.13,4038,4818.477711738485,1961,691,19393
3IRI3.03,3IRI3,.03,4651,3612.2453235863254,344,309,9297
3IRI3.04,3IRI3,.04,449,2617.0155902004453,312,27,6264
3IRI3.05,3IRI3,.05,2901,2945.2550844536368,3326,54,6790
3IRI3.06,3IRI3,.06,6347,3392.164014495037,3187,392,7126
3IRI4.04,3IRI4,.04,5076,1282.6227344365643,1132,320,2648
3IRI4.05,3IRI4,.05,2568,1263.0035046728972,1062,243,2551
3IRI4.06,3IRI4,.06,6025,1445.1664730290456,1024,338,3100
3IRI5.01,3IRI5,.01,463,818.5097192224622,3,2,2474
3IRI6.01,3IRI6,.01,12,1426.3333333333333,0,0,3333
3IRI6.02,3IRI6,.02,168,673.702380952381,0,0,2417
3KCB2.02,3KCB2,.02,232217,14.596476571482707,0,0,31
3KE01.01,3KE01,.01,29858,0.0,0,0,0
3KG01.01,3KG01,.01,227372,0.0,0,0,0
3KOB2.01,3KOB2,.01,191165,17.895540501660868,14,9,33
3KOBW.01,3KOBW,.01,17,2.176470588235294,0,0,19
3KP01.04,3KP01,.04,196477,644.7150404373031,267,144,1504
3KP02.01,3KP02,.01,145879,0.0,0,0,0
3KP0W.01,3KP0W,.01,91,341.57142857142856,54,15,1010
3KR01.06,3KR01,.06,23,0.0,0,0,0
3KR01.07,3KR01,.07,129336,337.08695954722583,0,0,1839
3KR01.08,3KR01,.08,163043,1580.241611108726,0,0,4938
3LMK1.03,3LMK1,.03,5488,6890.649234693878,5398,181,13580
